ID	Data + units	Time
8	38.389999, 100363, 9.508789 C, PA, %RH	At T: 1540594764.929211713s
8	38.410000, 100362, 9.520508 C, PA, %RH	At T: 1540594766.173233778s
8	38.430000, 100371, 9.486328 C, PA, %RH	At T: 1540594767.398706144s
8	38.430000, 100369, 9.475586 C, PA, %RH	At T: 1540594768.640806765s
8	38.450001, 100366, 9.464844 C, PA, %RH	At T: 1540594769.875104304s
8	38.450001, 100358, 9.453125 C, PA, %RH	At T: 1540594771.123436484s
8	38.439999, 100370, 9.487305 C, PA, %RH	At T: 1540594772.364808677s
8	38.450001, 100366, 9.475586 C, PA, %RH	At T: 1540594773.612323207s
8	38.450001, 100366, 9.430664 C, PA, %RH	At T: 1540594774.846624554s
8	38.459999, 100370, 9.408203 C, PA, %RH	At T: 1540594776.097561784s
8	38.469997, 100369, 9.397461 C, PA, %RH	At T: 1540594777.323798531s
8	38.469997, 100372, 9.397461 C, PA, %RH	At T: 1540594778.571302037s
8	38.509998, 100370, 9.397461 C, PA, %RH	At T: 1540594779.808164726s
8	38.520000, 100366, 9.420898 C, PA, %RH	At T: 1540594781.050768059s
8	38.520000, 100370, 9.488281 C, PA, %RH	At T: 1540594782.281433414s
8	38.520000, 100369, 9.556641 C, PA, %RH	At T: 1540594783.521293164s
8	38.520000, 100373, 9.522461 C, PA, %RH	At T: 1540594784.750055280s
8	38.549999, 100379, 9.489258 C, PA, %RH	At T: 1540594785.995743268s
8	38.559998, 100373, 9.466797 C, PA, %RH	At T: 1540594787.220379142s
8	38.570000, 100378, 9.466797 C, PA, %RH	At T: 1540594788.461466739s
8	38.559998, 100369, 9.511719 C, PA, %RH	At T: 1540594789.692849400s
8	38.540001, 100372, 9.545898 C, PA, %RH	At T: 1540594790.926463579s
8	38.549999, 100371, 9.545898 C, PA, %RH	At T: 1540594792.160600004s
8	38.540001, 100370, 9.556641 C, PA, %RH	At T: 1540594793.407002676s
8	38.549999, 100371, 9.557617 C, PA, %RH	At T: 1540594794.635420287s
8	38.549999, 100374, 9.523438 C, PA, %RH	At T: 1540594795.875234176s
8	38.570000, 100380, 9.478516 C, PA, %RH	At T: 1540594797.105094847s
8	38.559998, 100376, 9.535156 C, PA, %RH	At T: 1540594798.344442280s
8	38.570000, 100370, 9.591797 C, PA, %RH	At T: 1540594799.566759035s
8	38.570000, 100375, 9.591797 C, PA, %RH	At T: 1540594800.816733494s
8	38.579998, 100376, 9.581055 C, PA, %RH	At T: 1540594802.042930137s
8	38.610001, 100378, 9.592773 C, PA, %RH	At T: 1540594803.292536303s
8	38.610001, 100380, 9.852539 C, PA, %RH	At T: 1540594804.523234315s
8	38.570000, 100372, 10.168945 C, PA, %RH	At T: 1540594805.760520815s
8	38.570000, 100378, 10.191406 C, PA, %RH	At T: 1540594806.986653386s
8	38.570000, 100372, 10.089844 C, PA, %RH	At T: 1540594808.237111908s
8	38.590000, 100377, 9.954102 C, PA, %RH	At T: 1540594809.472482389s
8	38.570000, 100378, 9.840820 C, PA, %RH	At T: 1540594810.708570024s
8	38.610001, 100370, 9.795898 C, PA, %RH	At T: 1540594811.931264475s
8	38.599998, 100376, 9.728516 C, PA, %RH	At T: 1540594813.174976326s
8	38.629997, 100376, 9.683594 C, PA, %RH	At T: 1540594814.403414268s
8	38.639999, 100371, 9.615234 C, PA, %RH	At T: 1540594815.653638581s
8	38.619999, 100372, 9.626953 C, PA, %RH	At T: 1540594816.883987146s
8	38.639999, 100378, 9.626953 C, PA, %RH	At T: 1540594818.134927667s
8	38.660000, 100378, 9.582031 C, PA, %RH	At T: 1540594819.367933081s
8	38.669998, 100376, 9.525391 C, PA, %RH	At T: 1540594820.600167826s
8	38.669998, 100383, 9.502930 C, PA, %RH	At T: 1540594821.830086746s
8	38.689999, 100374, 9.492188 C, PA, %RH	At T: 1540594823.072606695s
8	38.709999, 100371, 9.458008 C, PA, %RH	At T: 1540594824.300765369s
8	38.700001, 100381, 9.423828 C, PA, %RH	At T: 1540594825.555296713s
