ID	Data + units	Time
6	0.000000, 0.000000, 0.000000 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.304384989s
6	-0.007600, 1.938000, -0.015200 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.311767011s
6	-0.030400, 1.938000, -0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.319149033s
6	-0.121600, 1.938000, -0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.326531055s
6	-0.220400, -0.007600, -0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.333913077s
6	-0.334400, 1.938000, -0.038000 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.341295099s
6	-0.372400, 1.938000, -0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.348677121s
6	-0.395200, 1.938000, -0.007600 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.356059143s
6	-0.395200, 1.938000, 0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.363441165s
6	-0.395200, 1.938000, 0.060800 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.370823187s
6	-0.357200, 1.938000, 0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.378205209s
6	-0.281200, 1.938000, -0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.385587231s
6	-0.182400, 1.938000, -0.106400 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.392969253s
6	-0.068400, 1.938000, -0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.400351275s
6	0.015200, 0.000000, -0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.407733297s
6	0.038000, 0.000000, 0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.415115319s
6	0.015200, 0.000000, 0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.422497341s
6	-0.076000, 1.938000, 0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.429879363s
6	-0.182400, 1.938000, 0.144400 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.437261385s
6	-0.334400, 1.938000, 0.220400 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.444643407s
6	-0.471200, -0.007600, 0.243200 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.452025429s
6	-0.494000, 1.938000, 0.228000 X deg/s, Y deg/s, Z deg/s	At T: 1540594764.459407451s
