ID	Data + units	Time
9	-0.991821, -1.861572, -2.059937 X mT, Y mT, Z mT	At T: 1540594765.232481920s
9	-1.007080, -1.815796, -2.014160 X mT, Y mT, Z mT	At T: 1540594766.476444450s
9	-0.976562, -1.846313, -1.998901 X mT, Y mT, Z mT	At T: 1540594767.700854148s
9	-0.976562, -1.846313, -2.029419 X mT, Y mT, Z mT	At T: 1540594768.942787570s
9	-1.007080, -1.953125, -2.014160 X mT, Y mT, Z mT	At T: 1540594770.177053572s
9	-0.976562, -1.785278, -1.983643 X mT, Y mT, Z mT	At T: 1540594771.426056483s
9	-1.007080, -1.876831, -2.044678 X mT, Y mT, Z mT	At T: 1540594772.666846824s
9	-0.976562, -1.861572, -2.044678 X mT, Y mT, Z mT	At T: 1540594773.914521810s
9	-1.007080, -1.831055, -2.014160 X mT, Y mT, Z mT	At T: 1540594775.148856494s
9	-1.007080, -1.800537, -2.014160 X mT, Y mT, Z mT	At T: 1540594776.400309668s
9	-0.976562, -1.861572, -1.998901 X mT, Y mT, Z mT	At T: 1540594777.626170306s
9	-0.976562, -1.800537, -2.014160 X mT, Y mT, Z mT	At T: 1540594778.873906556s
9	-1.007080, -1.861572, -2.044678 X mT, Y mT, Z mT	At T: 1540594780.110650545s
9	-0.976562, -1.861572, -2.044678 X mT, Y mT, Z mT	At T: 1540594781.353285423s
9	-1.007080, -1.815796, -2.044678 X mT, Y mT, Z mT	At T: 1540594782.583700956s
9	-0.991821, -1.892090, -1.998901 X mT, Y mT, Z mT	At T: 1540594783.824214353s
9	-0.976562, -1.861572, -2.044678 X mT, Y mT, Z mT	At T: 1540594785.052260998s
9	-0.991821, -1.876831, -2.059937 X mT, Y mT, Z mT	At T: 1540594786.297991489s
9	-1.007080, -1.846313, -2.029419 X mT, Y mT, Z mT	At T: 1540594787.522406123s
9	-0.946045, -1.831055, -2.014160 X mT, Y mT, Z mT	At T: 1540594788.764439898s
9	-0.976562, -1.861572, -2.059937 X mT, Y mT, Z mT	At T: 1540594789.995149002s
9	-0.976562, -1.876831, -2.044678 X mT, Y mT, Z mT	At T: 1540594791.228954262s
9	-0.976562, -1.831055, -2.075195 X mT, Y mT, Z mT	At T: 1540594792.463323974s
9	-0.976562, -1.861572, -2.075195 X mT, Y mT, Z mT	At T: 1540594793.709490074s
9	-0.991821, -1.831055, -1.998901 X mT, Y mT, Z mT	At T: 1540594794.938535624s
9	-0.976562, -1.892090, -1.998901 X mT, Y mT, Z mT	At T: 1540594796.177607294s
9	-0.991821, -1.892090, -1.998901 X mT, Y mT, Z mT	At T: 1540594797.407750333s
9	-0.991821, -1.846313, -2.029419 X mT, Y mT, Z mT	At T: 1540594798.646792446s
9	-0.930786, -1.815796, -2.059937 X mT, Y mT, Z mT	At T: 1540594799.869327404s
9	-0.976562, -1.861572, -2.029419 X mT, Y mT, Z mT	At T: 1540594801.119066333s
9	-1.007080, -1.876831, -2.029419 X mT, Y mT, Z mT	At T: 1540594802.345400893s
9	-0.946045, -1.846313, -1.998901 X mT, Y mT, Z mT	At T: 1540594803.594899898s
9	-0.991821, -1.892090, -2.014160 X mT, Y mT, Z mT	At T: 1540594804.825503374s
9	-0.991821, -1.861572, -2.014160 X mT, Y mT, Z mT	At T: 1540594806.062815043s
9	-0.976562, -1.922607, -1.998901 X mT, Y mT, Z mT	At T: 1540594807.289360521s
9	-0.976562, -1.861572, -2.075195 X mT, Y mT, Z mT	At T: 1540594808.540092244s
9	-0.976562, -1.861572, -1.983643 X mT, Y mT, Z mT	At T: 1540594809.774654131s
9	-0.991821, -1.846313, -1.998901 X mT, Y mT, Z mT	At T: 1540594811.010763643s
9	-0.991821, -1.876831, -2.029419 X mT, Y mT, Z mT	At T: 1540594812.233666716s
9	-0.961304, -1.876831, -2.029419 X mT, Y mT, Z mT	At T: 1540594813.477137870s
9	-0.976562, -1.876831, -2.044678 X mT, Y mT, Z mT	At T: 1540594814.705947051s
9	-0.991821, -1.861572, -2.090454 X mT, Y mT, Z mT	At T: 1540594815.956155284s
9	-0.976562, -1.892090, -2.029419 X mT, Y mT, Z mT	At T: 1540594817.186461021s
9	-0.976562, -1.861572, -2.014160 X mT, Y mT, Z mT	At T: 1540594818.437151680s
9	-0.991821, -1.831055, -2.059937 X mT, Y mT, Z mT	At T: 1540594819.669914480s
9	-0.976562, -1.876831, -2.029419 X mT, Y mT, Z mT	At T: 1540594820.902513797s
9	-0.991821, -1.846313, -2.044678 X mT, Y mT, Z mT	At T: 1540594822.132590840s
9	-0.991821, -1.876831, -2.044678 X mT, Y mT, Z mT	At T: 1540594823.375100501s
9	-0.976562, -1.846313, -2.075195 X mT, Y mT, Z mT	At T: 1540594824.603119266s
9	-0.976562, -1.861572, -2.044678 X mT, Y mT, Z mT	At T: 1540594825.858047640s
