ID	Data + units	Time
7	-0.037050, 0.035100, 0.992550 X G, Y G, Z G	At T: 1540595014.076415455s
7	-0.029250, 0.042900, 0.984750 X G, Y G, Z G	At T: 1540595014.102132357s
7	-0.040950, 0.033150, 0.986700 X G, Y G, Z G	At T: 1540595014.127849259s
7	-0.050700, 0.042900, 0.994500 X G, Y G, Z G	At T: 1540595014.153566161s
7	-0.050700, 0.033150, 0.994500 X G, Y G, Z G	At T: 1540595014.179283063s
7	-0.050700, 0.040950, 0.994500 X G, Y G, Z G	At T: 1540595014.204999965s
7	-0.046800, 0.044850, 0.992550 X G, Y G, Z G	At T: 1540595014.230716867s
7	-0.039000, 0.044850, 0.984750 X G, Y G, Z G	At T: 1540595014.256433769s
7	-0.039000, 0.040950, 0.986700 X G, Y G, Z G	At T: 1540595014.282150671s
7	-0.031200, 0.046800, 0.982800 X G, Y G, Z G	At T: 1540595014.307867573s
7	-0.037050, 0.046800, 0.990600 X G, Y G, Z G	At T: 1540595014.333584475s
7	-0.039000, 0.040950, 0.986700 X G, Y G, Z G	At T: 1540595014.359301377s
7	-0.040950, 0.042900, 0.969150 X G, Y G, Z G	At T: 1540595014.385018279s
7	-0.042900, 0.042900, 0.984750 X G, Y G, Z G	At T: 1540595014.410735181s
7	-0.046800, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595014.436452083s
7	-0.044850, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540595014.462168985s
7	-0.040950, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595014.487885887s
7	-0.050700, 0.037050, 0.996450 X G, Y G, Z G	At T: 1540595014.513602789s
7	-0.052650, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595014.539319691s
7	-0.044850, 0.044850, 0.994500 X G, Y G, Z G	At T: 1540595014.565036593s
7	-0.046800, 0.040950, 0.994500 X G, Y G, Z G	At T: 1540595014.590753495s
7	-0.044850, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595014.616470397s
7	-0.044850, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595014.642187299s
7	-0.040950, 0.040950, 0.986700 X G, Y G, Z G	At T: 1540595014.667904201s
7	-0.035100, 0.039000, 0.990600 X G, Y G, Z G	At T: 1540595015.298810357s
7	-0.037050, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595015.308734829s
7	-0.037050, 0.039000, 0.990600 X G, Y G, Z G	At T: 1540595015.318659301s
7	-0.040950, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595015.328583773s
7	-0.044850, 0.039000, 0.990600 X G, Y G, Z G	At T: 1540595015.338508245s
7	-0.050700, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595015.348432717s
7	-0.048750, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595015.358357189s
7	-0.050700, 0.042900, 0.973050 X G, Y G, Z G	At T: 1540595015.368281661s
7	-0.046800, 0.042900, 0.980850 X G, Y G, Z G	At T: 1540595015.378206133s
7	-0.044850, 0.046800, 0.992550 X G, Y G, Z G	At T: 1540595015.388130605s
7	-0.050700, 0.042900, 0.998400 X G, Y G, Z G	At T: 1540595015.398055077s
7	-0.044850, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540595015.407979549s
7	-0.040950, 0.042900, 0.994500 X G, Y G, Z G	At T: 1540595015.417904021s
7	-0.046800, 0.046800, 0.992550 X G, Y G, Z G	At T: 1540595015.427828493s
7	-0.048750, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595015.437752965s
7	-0.042900, 0.044850, 0.994500 X G, Y G, Z G	At T: 1540595015.447677437s
7	-0.048750, 0.042900, 0.998400 X G, Y G, Z G	At T: 1540595015.457601909s
7	-0.046800, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595015.467526381s
7	-0.046800, 0.044850, 0.992550 X G, Y G, Z G	At T: 1540595015.477450853s
7	-0.046800, 0.042900, 0.994500 X G, Y G, Z G	At T: 1540595015.487375325s
7	-0.042900, 0.039000, 0.984750 X G, Y G, Z G	At T: 1540595015.497299797s
7	-0.040950, 0.044850, 0.978900 X G, Y G, Z G	At T: 1540595015.507224269s
7	-0.044850, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595015.517148741s
7	-0.044850, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595015.527073213s
7	-0.044850, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595016.531834894s
7	-0.044850, 0.046800, 0.992550 X G, Y G, Z G	At T: 1540595016.541552854s
